idCode,itemCode,koreanName,Update,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61
Y345,A58,유볼트 철,2022-02-13,standard,1_2,3_4,1,1 1_4,1 1_2,2,2 1_2,3,4,5,6,8,10,12,14,16,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y346,A58,유볼트 철,2022-02-13,1_4,78,84,96,108,126,138,168,192,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y347,A58,유볼트 철,2022-02-13,5_16,126,138,162,180,204,234,288,324,396,480,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y348,A58,유볼트 철,2022-02-13,3_8,179,179,203,234,251,293,359,404,509,722,808,1086,1357,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y349,A58,유볼트 철,2022-02-13,1_2,,,,,,702,889,961,1186,1435,1607,2059,2568,2601,3073,3522,5117,5585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y350,A58,유볼트 철,2022-02-13,5_8,,,,,,,,,1973,2476,2761,3409,4306,5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y351,A59,유볼트 철 절연,2022-02-13,standard,1_2,3_4,1,1 1_4,1 1_2,2,2 1_2,3,4,5,6,8,10,12,14,16,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y352,A59,유볼트 철 절연,2022-02-13,절연3_8,450,480,540,630,690,798,960,1080,1350,1590,1860,2388,2970,3480,3900,4296,4860,5280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y353,A59,유볼트 철 절연,2022-02-13,절연1_2,,,,,,1596,1920,2160,2676,3240,3600,4596,5760,6696,7476,8256,9336,10116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y354,A59,유볼트 철 절연,2022-02-13,절연패드,154,154,154,189,189,240,240,240,2986,292,326,376,489,489,489,489,489,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y355,A60,유볼트 STS304,2022-02-13,,1_2,3_4,1,1 1_4,1 1_2,2,2 1_2,3,4,5,6,8,10,12,14,16,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y356,A60,유볼트 STS304,2022-02-13,1_4,325,351,377,403,455,520,650,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y357,A60,유볼트 STS304,2022-02-13,5_16,520,559,611,650,741,871,1105,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y358,A60,유볼트 STS304,2022-02-13,3_8,611,650,800,850,900,1040,1209,1440,1800,2112,2472,3168,3960,4608,5220,6120,6900,7740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y359,A60,유볼트 STS304,2022-02-13,1_2,,,,,,1968,2376,2688,3312,4032,4476,5736,7164,8328,9312,10308,11652,12636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y360,A61,L앙카,2022-02-13,standard,3_8,1_2,5_8,M16,3_4,M20,M22,7_8,M24,1in,M27,1-1_8,M30,1-1_4,M36,1-1_2,M42,1-3_4,2in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y361,A61,L앙카,2022-02-13,125mm & 5in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y362,A61,L앙카,2022-02-13,150mm & 6in,458,515,558,615,787,872,1473,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y363,A61,L앙카,2022-02-13,200mm & 8in,515,615,686,758,1130,1258,1544,1544,1945,2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y364,A61,L앙카,2022-02-13,250mm & 10in,615,729,801,887,1273,1416,1745,1745,2074,2360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y365,A61,L앙카,2022-02-13,300mm & 12in,729,829,944,1044,1359,1502,1888,1888,2460,2660,3446,3818,4090,4505,5949,6692,10968,13385,18590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y366,A61,L앙카,2022-02-13,350mm & 14in,,930,1044,1173,1544,1702,2159,2159,2889,2831,3875,4261,4619,5077,6692,7536,12084,14872,20449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
